NEW REGIONS;NOMDEP;Date retrait appellation par Haut Conseil;DATE APPELLATION;ID MUSEE;NOM DU MUSEE;ADR;CP;VILLE;TELEPHONE1;FAX;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;JOURS NOCTURNES
AUVERGNE-RHÔNE-ALPES;ARDECHE;;15/05/2014;0700501;MuséAL - Musée Archéologique d'Alba;Route départementale 107;07400;ALBA-LA-ROMAINE;0475524515;;http://museal.ardeche.fr/;Janvier et décembre - 1er janvier, 1er mai, 25 décembre;Ouvert de février à juin et de septembre à novembre le lundi, mercredi au vendredi de 10h à 12h30 et de 14h30 à 18h, le samedi et dimanche de 14h30 à 18h, en juillet-août du lundi au vendredi de 10h à 13h et de 14h à 18h30, le dimanche de 14h30 à 18h. Pet;
AUVERGNE-RHÔNE-ALPES;ARDECHE;;01/02/2003;0701001;Musée Vivarois César Filhol;15, Rue Jean-Baptiste Béchetoille;07100;ANNONAY;0475676793;0475693275;www.cc-bassin-annonay.fr/-Le-Musee-Cesar-Filhol-.html;Jours fériés;Visite sur rendez-vous en raison de la fermeture pour récolement;
AUVERGNE-RHÔNE-ALPES;ARDECHE;;01/02/2003;0733401;Musée des Vans;4, Rue du Couvent;07140;LES VANS;0475370862;0475322746;http://www.les-vans.fr/musee/;Durant les vacances de la Toussaint, de Noël et d’hiver;Ouvert en juillet et en août du lundi au vendredi de 10h à 13h et de 16h à 19h, de septembre à juin le mercredi de 10h à 13h et de 14h à 17h et le samedi de 10h à 13h. Pour les groupes et scolaires les mardi, jeudi et vendredi de 9h à 12h et de 14h à 17h;
AUVERGNE-RHÔNE-ALPES;ARDECHE;;01/02/2003;0716801;Cité de Préhistoire;Orgnac Grand Site de France;07150;ORGNAC-L'AVEN;0475386510;0475386640;www.orgnac.com;Décembre, janvier;"Ouverture de la grotte et de la cité de la préhistoire du 1er février au 15 novembre et pour les vacances scolaires de Noël.
Accueil : février, mars de 10h à 12h30 et de 14h à 18h, d'avril à juin et septembre de 9h30  à 19h, en juillet-août de 9h30 à 19h";
AUVERGNE-RHÔNE-ALPES;ARDECHE;;01/02/2003;0718601;Musée de la terre ardéchoise;2, Place des Récollets;07000;PRIVAS;0475644369;0475643728;;;;
AUVERGNE-RHÔNE-ALPES;ARDECHE;;01/02/2003;0731301;Musée de la Batellerie du Rhône;154, rue Auguste Vincent;07340;SERRIERES;0475340046;0475341578;www.serrieres-ardeche.fr;;Ouvert du 1er juin jusqu'aux JEP du mercredi au lundi de 10h à 12h et de 14h à 18h;
AUVERGNE-RHÔNE-ALPES;ARDECHE;;01/02/2003;0731601;Musée et Site Archéologiques;Place de la Déesse Soïo;07130;SOYONS;0475608886;0475608112;www.rhonecrussol.fr;Décembre et janvier;"Ouvert du 1er avril au 31 octobre du mercredi au dimanche de 14h à 18h, en juillet-août tous les jours de 10h à 19h.
Visites exceptionnelles durant les vacances de février, Toussaint et Noël";
AUVERGNE-RHÔNE-ALPES;ARDECHE;;01/02/2003;0732401;Musée du Rhône;14, Place Auguste Faure;07300;TOURNON-SUR-RHÔNE;0475081030;0475078398;www.chateaumusee-tournon.com;du 21 décembre au 19 mars, 1er mai;Ouvert du 20 mars au 23 décembre tous les jours de 14h à 18h, en juillet-août tous les jours de 10h à 19h, et de novembre au 23 décembre, du jeudi au mardi de 14h à 17h30;
AUVERGNE-RHÔNE-ALPES;CANTAL;;01/02/2003;1501401;Musée des Sciences;Château Saint Etienne;15000;AURILLAC;0471480700;0471482919;www.aurillac.fr;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert de janvier à mi-juin et de septembre à décembre du mardi au samedi de 14h à l8h et de mi-juin au 4 septembre du lundi au samedi de 10h à 18h30 et le dimanche de 14h à 18h30;
AUVERGNE-RHÔNE-ALPES;CANTAL;;01/02/2003;1501402;Musée d'Art et d'Archéologie;"Centre Culturel Pierre Mendès France
37, rue des Carmes";15012;AURILLAC Cedex;0471454610;0471454692;www.ville-aurillac.fr;;"Ouvert de février à novembre du mardi au samedi de 10h à 12h et de 14h à 18h, le dimanche de 14h à 18h en juillet-août
Expositions temporaires (Ecuries) du lundi au samedi de 13h30 à 18h30
Expositions temporaires (Sellerie) du mardi au samedi de 14h à 1";
AUVERGNE-RHÔNE-ALPES;CANTAL;;01/02/2003;1516801;Ecomusée de Margeride-Haute-Auvergne;"La Tour
Jardin de Saint-Martin";15320;RUYNES-EN-MARGERIDE;0471234296;0471234580;www.ecomuseedemargeride.fr;Décembre et janvier;Ouvert tous les jours en juin et septembre tous les jours de 14h à 18h et en juillet aôut tous les jours de 10h à 13h et de 15h à 19h;
AUVERGNE-RHÔNE-ALPES;CANTAL;;01/02/2003;1518701;Musée de la Haute Auvergne;"Palais épiscopal
1, Place d'Armes";15100;SAINT-FLOUR;0471602232;0471606847;www.auvergne-centrefrance.com/geotouring/musees/detail/mus154.htm;1er mai, jours fériés, Entre Noël et jour de l'an;Ouvert de mai à fin octobre tous les jours de 10h à 12h et de 14h à 18h, de novembre à fin avril le lundi et du mercredi au samedi de 10h à 12h et de 14h à 17h;
AUVERGNE-RHÔNE-ALPES;CANTAL;;01/02/2003;1518702;Musée d'art et d'histoire Alfred Douët;"Maison consulaire
17, Place d'Armes";15100;SAINT-FLOUR;0471604499;0471609256;www.musee-douet.com;1er mai, jours fériés. Entre Noël et le jour de l'an;Ouvert du 2 mai au 30 septembre tous les jours de 10h à 12h et de 14h à 18h, du 1er octobre au 30 avril le lundi et du mercredi au samedi de 10h à 12h et de 14h à 17h;
AUVERGNE-RHÔNE-ALPES;DRÔME;;01/02/2003;2611301;Musée d'Histoire et d'Archéologie;11, Rue Camille-Buffardel;26150;DIE;0475224005;0475224005;www.museededie.org;Novembre à mars et jours fériés;Ouvert du 15 avril au 15 juin du mardi au vendredi de 14h à 17h et du 15 juin au 15 septembre du mardi au samedi de 15h à 19h;
AUVERGNE-RHÔNE-ALPES;DRÔME;;01/02/2003;2614601;Château de Grignan;Le Château;26230;GRIGNAN;0475918357;0475918362;http://chateaux.ladrome.fr;1er janvier, 25 décembre;Ouvert tous les jours de 9h30 à 12h et de 14h à 18h et en juillet-août de 10h à 18h;
AUVERGNE-RHÔNE-ALPES;DRÔME;;30/01/2003;2619801;Musée du Château des Adhémars;"24 rue du château
Plateau de Narbonne";26200;MONTELIMAR;0475006230;0475002508;http://www.chateaux-ladrome.fr/fr/chateau-des-adhemar-montelimar;;Ouvert de mai à octobre pour les visiteurs individuels / le reste de l'année ouverture réservée aux groupes <<<;
AUVERGNE-RHÔNE-ALPES;DRÔME;;01/02/2003;2621801;Musée d'Art Sacré;Le Village;26540;MOURS SAINT-EUSEBE;0475029695;0475029695;www.musee-art-sacre.com;;Ouvert du 2 mai au 31 octobre de 14h30 à 18h30 du dimanche au vendredi. En dehors de ces périodes sur réservation pour les groupes de plus de 15 personnes;
AUVERGNE-RHÔNE-ALPES;DRÔME;;01/02/2003;2628101;Musée International de la Chaussure;"Portail Roger Vivier
Rue Bistour";26100;ROMANS;0475055181;0475029726;www.ville-romans.com;1er janvier, lundi de Pâques, lundi de Pentecôte, 1er mai, 1er novembre et 25 décembre et 15 jours suivants les vacances de Noêl;Ouvert d'octobre à avril du mardi au samedi de 10h à 17h et de mai à septembre de 10h à 18h, et du lundi au samedi de 10h à 18h en juillet-août. Dimanche et certains jours fériés de 14h30 à 18h;
AUVERGNE-RHÔNE-ALPES;DRÔME;;01/02/2003;2632401;Musée d'Archéologie Tricastine;Place Castellane;26131;SAINT-PAUL-TROIS-CHATEAUX;0475047419;0475045577;www.musat.fr;;Ouvert du mardi au samedi de 14h30 à 18h, le premier dimanche du mois de 14h30 à 18h;
AUVERGNE-RHÔNE-ALPES;DRÔME;;01/02/2003;2636201;Musée des Beaux-Arts;4, Place des Ormeaux;26000;VALENCE;0475792080;0475792084;www.museedevalence.fr;Jours fériés;Ouvert le mardi de 14h à 18h, du mercredi au dimanche de 10h à 18h;Troisième jeudi de chaque mois jusqu'à 21h
AUVERGNE-RHÔNE-ALPES;DRÔME;;01/02/2003;2636401;Musée du site Préhistorique;La Hâle;26420;VASSIEUX-EN-VERCORS;0475482781;0475482867;www.prehistoire-vercors.fr;1er janvier, 25 décembre et de la fin des vacances de la Toussaint aux vacances de Noël;Ouvert en avril tous le sjours de 10h à 12h30 et de 14h à 17h, en mai et juin tous les jours de 10h à 12h30 et de 14h à 18h, en jullet et août tous les jours de 10h à 18h, en septembre tous les jours de 10h à 12h30 et de 14h à 17h, en octobre les week-end;
AUVERGNE-RHÔNE-ALPES;HAUTE-LOIRE;;01/02/2003;4307001;Musée de Paléontologie;Place de l'église;43380;CHILHAC;0471774726;0471774171;www.museechilhac.com;;Ouvert (Pâqes à la Toussaint) avril à juin et de septembre à Toussaint le dimanche et jours fériés de 14h à 18h, et en juillet-août tous les jours de 10h à 12h et de 15h à 19h;
AUVERGNE-RHÔNE-ALPES;HAUTE-LOIRE;;01/02/2003;4311701;Musée des Arts et Traditions Populaires de Haute Loire;;43100;LAVAUDIEU;0471760890;0471760890;Site des amis de Lavaudieu - www.abbayedelavaudieu.fr;Décembre à mars;Ouvert du 26 mars au 30 juin et du 5 septembre au 13 novembre tous les jours, et du 1er juillet au 4 septembre tous les jours;
AUVERGNE-RHÔNE-ALPES;HAUTE-LOIRE;;01/02/2003;4315701;Musée Crozatier;Jardin Henri Vinay;43000;LE PUY-EN-VELAY;0471066240;0471066249;http://www.lepuyenvelay.fr/culture-et-patrimoine/musee-n15.html;Novembre à mai;Ouvert de juin à septembre de 10h à 13h et de 14h à 19h et d'octobre à novembre de 10h à 12h et de 14h à 16h;
AUVERGNE-RHÔNE-ALPES;HAUTE-LOIRE;;22/04/2002;4316201;Musée des Manufactures de Dentelles;14, avenue de la Gare;43130;RETOURNAC;0471594163;0471594155;www.ville-retournac.fr/musee;Du 16 décembre au 14 mars et le 1er mai;"Ouvert tous les jours de 14h à 18h / et de 14h à 19h en juillet et août.
.";
AUVERGNE-RHÔNE-ALPES;HAUTE-LOIRE;;01/02/2003;4316701;Musée de la Ferblanterie;;43300;SAINT ARCONS D'ALLIER;0471740204;0471740339;;;;
AUVERGNE-RHÔNE-ALPES;HAUTE-SAVOIE;;01/02/2003;7401001;Musée-château d'Annecy;Place du Château;74000;ANNECY;0450338730;0450330084;http://musees.agglo-annecy.fr/Chateau-d-Annecy;1er janvier, dimanche et lundi de Pâques, 1er mai, 1er & 11 novembre, 25 décembre;Ouvert tous les jours de 10h30 à 18h de juin à septembre et du mercredi au lundi de 10h à 12h et de 14h à 17h d'octobre à mai;
AUVERGNE-RHÔNE-ALPES;HAUTE-SAVOIE;;01/02/2003;7405601;Musée Alpin;89, Avenue Michel Croz;74400;CHAMONIX;0450532593;0450539614;www.cc-valleedechamonixmontblanc.fr;1er janvier, 1er mai, 25 décembre;Ouvert du mercredi au lundi de 14h à 18h, et pendant les vacances scolaires du mercredi au lundi de 10h à 12h et de 14h à 18h, et en juillet-août tous les jours de 10h à 13h et de 14h à 18h;
AUVERGNE-RHÔNE-ALPES;HAUTE-SAVOIE;;01/02/2003;7415201;Musée Léon Marès;"Château de Montrottier
60, Allée du Château";74330;LOVAGNY;0450462302;0450461148;www.chateaudemontrottier.com ou www.academie-florimontane.fr;Du 15 octobre au 15 mars;Ouvert du 15 mars au 15 octobre de 9h30 à 12h et de 14h à 18h;
AUVERGNE-RHÔNE-ALPES;HAUTE-SAVOIE;;01/02/2003;7422501;Notre histoire, Musée de Rumilly;5, place de la manufacture;74150;RUMILLY;0450646418;;http://www.mairie-rumilly74.fr/culture_patrimoine/notre_histoire_musee_de_rumilly;Août, du 21 au 24 décembre et jours fériés;Ouvert du mercredi au samedi de 14h30 à 17h30;
AUVERGNE-RHÔNE-ALPES;HAUTE-SAVOIE;;01/02/2003;7428001;Musée des Vallées de Thônes;2, Rue Blanche;74230;THONES;0450029776;0450029776;;;Ouvert le lundi de 14h30 à 17h30, le mardi de 9h à 12h, le mercredi 9h à 12h et de 13h30 à 17h30, jeudi et vendredi de 9h à 12h et de 14h30 à 17h30, le samedi de 9h30 à 12h et de 14h30 à 17h30,;
AUVERGNE-RHÔNE-ALPES;HAUTE-SAVOIE;;01/02/2003;7428102;Musée du Chablais;"Château de Sonnaz
2, Rue Michaud";74200;THONON-LES-BAINS;0450706949;0450706954;Site de la ville;Jours fériés;Ouvert du 25 mars au 30  juin de 14h30 à 18h, en juillet août tous les jours de 10h à 12h et de 15h à 18h30, de septembre au 13 novembre tous le sjours de 14h30 à 18h;
AUVERGNE-RHÔNE-ALPES;ISERE;;24/01/2006;3800601;Musée Jadis Allevard;Parc des Forges;38580;ALLEVARD-LES-BAINS;0476451640;0476451640;https://museedallevard.wordpress.com/;Jours fériés;Ouvert du lundi au samedi de 14h à 18h du 23 mai au 15 octobre et en hiver sur réservation pour les groupes de plus de 10 personnes;
AUVERGNE-RHÔNE-ALPES;ISERE;;01/02/2003;3819101;Musée d'Huez et de l'Oisans;"Espace Congrès Palais des Sports
Avenue de Brandes";38750;ALPE D'HUEZ;0476112174;0476113425;www.alpedhuez-mairie.fr/47-musee.html;Jours fériés;Ouvert du lundi au samedi de 10h à 12h et de 14h à 19h de décembre à avril et en juillet-août et le premier dimanche de chaque mois;
AUVERGNE-RHÔNE-ALPES;ISERE;;01/02/2003;3801201;Musée Gallo-Romain;43, Place du Musée;38490;AOSTE;0476325827;0476325735; www.musee-aoste.fr;Jours fériés, et pendant les vacances de Noël;Ouvert lundi au vendredi de 13h à 17h, ouvert le samedi pour les groupes sur réservation uniquement;
AUVERGNE-RHÔNE-ALPES;ISERE;;01/02/2003;3805301;Musée de Bourgoin-Jallieu;17, Rue Victor Hugo;38300;BOURGOIN-JALLIEU;0474281974;0474939358;www.bourgoinjallieu.fr/culture/musee;Jours fériés;Ouvert du mardi au vendredi de 10h à 12h et de 14h à 18h, le samedi et dimanche de 14h à 18h;
AUVERGNE-RHÔNE-ALPES;ISERE;;01/02/2003;3808201;Musée - Parc Archéologique du Lac de Paladru;15, Place de l'Eglise;38850;CHARAVINES;0476557747;0476556313;www.museelacdepaladru.fr;1er janvier, 1er mai, 25 decembre;Ouvert de mai à septembre tous les jours de 14h à 18h et d'octobre à avril le dimanche de 14h à 17h et tous les jours pendant les vacances scolaires de la zone A de 14h à 17h;
AUVERGNE-RHÔNE-ALPES;ISERE;;01/02/2003;3815101;Musée Géo-Charles;1, Rue Géo-Charles;38130;ECHIROLLES;0476225863;0476097855;www.ville-echirolles.fr/sortir/geocharles/geocharles.html;Jours fériés;Ouvert le lundi et du mercredi au vendredi de 14h à 18h, samedi, dimanche de 14h à 19h;
AUVERGNE-RHÔNE-ALPES;ISERE;;01/02/2003;3818508;Musée de la Résistance de la Déportation de l'Isère;14, rue Hébert;38000;GRENOBLE;0476423853;0476425589;www.resistance-en-isere.fr;1er janvier, 1er mai, 25 décembre;Ouvert du 1er septembre au 30 juin du lundi, mercredi au vendredi de 9h à 18h, mardi de 13h30 à 18h, samedi et dimanche de 10h à 18h, en juillet-août de 10h à 19h, mardi de 13h30 à 19h;
AUVERGNE-RHÔNE-ALPES;ISERE;;01/02/2003;3818501;Musée Archéologique Grenoble Saint-Laurent;Place Saint-Laurent;38000;GRENOBLE;0476447868;0476513559;www.musee-archeologique-grenoble.fr;1er janvier, 1er mai, 25 décembre;Ouvert du mercredi au lundi de 10h à 18h;
AUVERGNE-RHÔNE-ALPES;ISERE;;01/02/2003;3818507;Musée Stendhal;1, Rue Hector Berlioz;38000;GRENOBLE;0476544414;;Site du patrimoine de l'Isère - www.patrimoine-en-isere.fr;;Ouvert le samedi de 10h à 12h et de 14h à 18h, premier dimanche du mois de 14h à 18h et durant les vacances scolaires du mardi au vendredi de 14h à 18h;
AUVERGNE-RHÔNE-ALPES;ISERE;;06/01/2002;3818505;Musée de Grenoble;5 Place de Lavalette;38000;GRENOBLE;0476634444;0476634410;www.museedegrenoble.fr;1er janvier, 1er mai, 25 décembre;Ouvert du mercredi au lundi de 10h à 18h30;
AUVERGNE-RHÔNE-ALPES;ISERE;;06/01/2002;3818503;Muséum d'Histoire Naturelle de Grenoble;"1, Rue Dolomieu
B.P. 3022";38816;GRENOBLE Cedex 1;0476440535;0476446599;http://www.grenoble.fr/639-museum-de-grenoble.htm;1er janvier, 1er mai et 25 décembre;Ouvert du mardi au vendredi de 9h15 à 12h et de 13h30 à 18h, samedi, dimanche et jours fériés de 14h à 18h;
AUVERGNE-RHÔNE-ALPES;ISERE;;01/02/2003;3818502;Musée Dauphinois;30, Rue Maurice Gignoux;38031;GRENOBLE Cedex 1;0457588901;0476876022;www.musee-dauphinois.fr;1er janvier, 1er mai, 25 décembre;Ouvert du mercredi au lundi du 1er octobre au 31 mai de 10h à 18h et du 1er juin au 30 septembre de 10h à 19h;
AUVERGNE-RHÔNE-ALPES;ISERE;;01/02/2003;3819001;Maison du Patrimoine de Hières-sur-Amby;Montée de la Cure;38118;HIERES SUR AMBY;0474951910;0474951975;www.musee.larina-hieres.com ou Site du patrimoine en isère - www.patrimoine-en-isere.fr;Jours fériés;Ouvert du 1er octobre au 31 mars du lundi au vendredi de 14h à 18h, et du 1er avril au 30 septembre tous les jours de 14h à 18h;
AUVERGNE-RHÔNE-ALPES;ISERE;;01/02/2003;3826901;Musée Matheysin;"Maison Caral
Rue du Colonel Escallon";38350;LA MURE;0476309815;0476309815;www.lamure.fr;1er mai;Ouvert du mercredi au lundi de 13h à 18h d'avril à juin et septembre, et en juillet-août de 10h à 12h et de 14h à 18h;
AUVERGNE-RHÔNE-ALPES;ISERE;;01/02/2003;3851601;Musée Hébert;Chemin Hébert;38700;LA TRONCHE;0476429735;0476429737;www.musee-hebert.fr;1er janvier, 1er mai, 25 décembre;Ouvert du 1er juin au 30 septembre du mercredi au lundi de 10h à 18h, jusqu'à 19h le dimanche du 1er juin au 30 septembre;Le vendredi en juillet-août jusqu'à 23h
AUVERGNE-RHÔNE-ALPES;ISERE;;01/02/2003;3813001;Musée Hector Berlioz;69, Rue de la République;38260;LA-COTE-SAINT-ANDRE;0474202488;0474208333;www.musee-hector-berlioz.fr;1er janvier, 1er mai, 25 décembre;Ouvert du 1er octobre au 30 avril du mercredi au lundi de 10h à 12h30 et du 13h30 à18h, du 1er mai au 30 juin et en septembre du mercredi au lundi de 10h à 12h30 et de 13h30 à 18h, le week-end jusqu'à 19h, en juillet-août tous les jours de 10h à 12h30 et ;Pendant le festival Berlioz tous les jours jusqu'à 20h (16 jours)
AUVERGNE-RHÔNE-ALPES;ISERE;;01/02/2003;3844203;Musée de la Grande Chartreuse;La Correrie;38380;SAINT-PIERRE-DE-CHARTREUSE;0476886045;0438869050;www.musee-grande-chartreuse.fr;;Ouvert de mai à septembre de 10h à 18h30, en avril, octobre et novembre de 13h30 à 18h;
AUVERGNE-RHÔNE-ALPES;ISERE;;01/02/2003;3800501;Conservatoire - Musée des Industries Hydroélectriques;"Route du Lac
Le Verney";38114;VAUJANY;0476807800;0476798041;www.musee-edf-hydrelec.fr;Novembre et 1er janvier, 1er et 8 mai, Ascension, 25 décembre;Ouvert d'octobre à avril du mardi au dimanche de 13h à 17h et de mai à septembre de 10h à 12h et de 13h à 18h;
AUVERGNE-RHÔNE-ALPES;ISERE;;01/02/2003;3854401;Musée-Cloître Saint-André-Le-Bas;Place du Jeau de Paume;38200;VIENNE;0474852035;0474533459;www.musees-vienne.fr  Site du patrimoine de l'Isère;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert du mardi au dimanche de 9h30 à 13h et de 14h à 18h d'avril à octobre et du mardi au vendredi de 9h30 à 12h30 et de 14h à 17h, le samedi et dimanche de 13h30 à 17h30 de novembre à mars;
